"","Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Name","Pos","WAR","G","AB","HR","BA","OPS","G.1","W","L","ERA","WHIP","SV","Type","Drafted.Out.of","bbrid"
"41",2016,1,NA,41,"FrRnd",41,"Pirates","N","Nick Lodolo (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Damien HS (La Verne, CA)","lodolo000nic"
"42",2016,2,NA,42,"FrRnd",1,"Phillies","Y","Kevin Gowdy (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Santa Barbara HS (Santa Barbara, CA)","gowdy-000kev"
"43",2016,2,NA,43,"FrRnd",2,"Reds","Y","Chris Okey (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Clemson University (Clemson, SC)","okey--001chr"
"44",2016,2,NA,44,"FrRnd",3,"Braves","Y","Kyle Muller (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Dallas Jesuit College Prep (Dallas, TX)","muller000kyl"
"45",2016,2,NA,45,"FrRnd",4,"Rockies","Y","Ben Bowden (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Vanderbilt University (Nashville, TN)","bowden000ben"
"46",2016,2,NA,46,"FrRnd",5,"Brewers","Y","Lucas Erceg (minors)","3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Menlo College (Atherton, CA)","erceg-000luc"
"47",2016,2,NA,47,"FrRnd",6,"Athletics","Y","Logan Shore (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Florida (Gainesville, FL)","shore-001log"
"48",2016,2,NA,48,"FrRnd",7,"Padres","Y","Buddy Reed (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Florida (Gainesville, FL)","reed--000bud"
"49",2016,2,NA,49,"FrRnd",8,"White Sox","Y","Alec Hansen (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Oklahoma (Norman, OK)","hansen000ale"
"50",2016,2,NA,50,"FrRnd",9,"Mariners","Y","Joe Rizzo (minors)","3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Oakton HS (Vienna, VA)","rizzo-000joe"
