"","Year","Age","AgeDif","Tm","Lg","Lev","Aff","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","bbrid"
"15","2015","28","-0.2","STL","NL","MLB","STL","1","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","0","0","0","0","0","0","anna--001dea"
"16","2015","28","1.2","Memphis","PCL","AAA","STL","125","534","445","80","121","22","3","3","44","5","5","77","61",".272",".382",".355",".737","158","10","4","5","3","1","anna--001dea"
"17","2015-16","28","-0.3","Obregon","MXPW","FgW","","5","24","21","1","4","2","0","1","3","2","0","3","5",".190",".292",".429",".720","9","0","0","0","0","0","anna--001dea"
"18","2016","29","2.4","Memphis","PCL","AAA","STL","106","383","334","48","89","17","1","2","39","4","3","42","55",".266",".344",".341",".685","114","14","0","2","5","0","anna--001dea"
"19","2016-17","29","0.5","Hermosillo","MXPW","FgW","","26","108","92","13","21","5","0","0","5","0","0","13","19",".228",".330",".283",".613","26","1","1","2","0","2","anna--001dea"
"20","2017","30","3.6","Omaha","PCL","AAA","KCR","112","439","386","53","110","14","3","5","33","6","4","43","51",".285",".364",".376",".740","145","9","5","5","0","0","anna--001dea"
"21","2017","17","-1.1","Royals","DOSL","FRk","KCR","50","170","147","10","27","3","0","0","9","8","5","9","24","0.184","0.262","0.204","0.466","30","2","7","6","1","1","aponte000bra"
"22","2015","17","-2.9","Royals","ARIZ","Rk","KCR","26","117","109","14","32","2","2","0","9","8","3","2","21","0.294","0.306","0.349","0.655","38","2","0","6","0","0","aracen000ric"
"23","2016","18","-2.6","Idaho Falls","PION","Rk","KCR","61","297","267","44","67","8","4","1","33","17","8","17","53","0.251","0.3","0.322","0.622","86","4","2","10","1","0","aracen000ric"
"24","2017","19","-2.5","Lexington","SALL","A","KCR","30","114","108","5","15","1","0","0","7","3","5","0","34","0.139","0.138","0.148","0.286","16","2","0","5","1","0","aracen000ric"
"25","2017","19","-1.7","Idaho Falls","PION","Rk","KCR","6","31","26","10","10","1","1","2","7","1","0","4","5","0.385","0.467","0.731","1.197","19","0","0","1","0","0","aracen000ric"
"26","2015","19","-0.9","Royals","ARIZ","Rk","KCR","26","81","68","12","16","6","0","0","9","1","1","5","20","0.235","0.358","0.324","0.682","22","3","8","0","0","0","arroyo000mic"
"27","2016","20","-0.5","Burlington","APPY","Rk","KCR","23","82","74","15","15","3","0","4","17","4","1","6","19","0.203","0.268","0.405","0.674","30","2","1","0","1","0","arroyo000mic"
"28","2017","21","0.7","Burlington","APPY","Rk","KCR","7","23","22","0","0","0","0","0","0","0","0","1","12","0","0.043","0","0.043","0","0","0","0","0","0","arroyo000mic"
"29","2017","21","1.3","Royals","ARIZ","Rk","KCR","4","12","12","0","1","0","0","0","2","0","0","0","6","0.083","0.083","0.083","0.167","1","0","0","0","0","0","arroyo000mic"
"30","2011","17","-3.1","Royals","ARIZ","Rk","KCR","47","229","213","30","54","11","2","0","28","8","2","9","39",".254",".290",".324",".614","69","3","2","5","0","0","arteag000hum"
"31","2012","18","-2.2","Burlington","APPY","Rk","KCR","58","262","234","40","64","13","3","2","29","7","3","9","31",".274",".313",".380",".694","89","6","6","10","3","0","arteag000hum"
"32","2013","19","-2.6","Lexington","SALL","A","KCR","61","251","240","17","45","5","2","0","13","0","4","6","43",".188",".214",".225",".439","54","8","2","3","0","0","arteag000hum"
"33","2013","19","-1.6","Idaho Falls","PION","Rk","KCR","69","346","300","56","84","15","5","3","58","11","7","26","52",".280",".333",".393",".727","118","4","2","10","8","0","arteag000hum"
"34","2014","20","-1.5","Lexington","SALL","A","KCR","122","483","450","33","89","13","2","2","31","7","6","17","111",".198",".231",".249",".480","112","10","3","12","1","0","arteag000hum"
"35","2015","21","-1.7","Wilmington","CARL","A+","KCR","48","196","179","21","42","7","0","1","16","3","3","7","31",".235",".271",".291",".561","52","5","3","4","3","0","arteag000hum"
"36","2015","21","-0.6","Lexington","SALL","A","KCR","70","315","286","37","74","12","2","1","28","15","8","15","46",".259",".297",".325",".623","93","2","2","9","3","0","arteag000hum"
"37","2015-16","21","-6.6","Magallanes","VEWL","FgW","","20","74","68","11","16","2","0","1","7","1","0","4","16",".235",".274",".309",".583","21","3","0","1","1","1","arteag000hum"
"38","2016","22","-1.8","Northwest Arkansas","TL","AA","KCR","58","218","207","19","43","6","2","0","11","1","2","6","44",".208",".228",".256",".484","53","6","0","3","2","0","arteag000hum"
"39","2016","22","-0.5","Wilmington","CARL","A+","KCR","67","285","266","35","76","8","2","2","24","14","5","7","46",".286",".305",".353",".659","94","6","1","10","1","0","arteag000hum"
"40","2016-17","22","-4.8","Magallanes","VEWL","FgW","","17","50","46","5","12","4","0","0","4","1","0","3","11",".261",".306",".348",".654","16","1","0","1","0","0","arteag000hum"
"41","2017","23","-1.0","Northwest Arkansas","TL","AA","KCR","124","490","453","47","117","12","3","1","35","4","4","25","65",".258",".300",".305",".605","138","6","4","4","4","2","arteag000hum"
"42","2017-18","23","-3.7","Magallanes","VEWL","FgW","","","","","","","","","","","","","","","","","","","","","","","","","arteag000hum"
"43","2017-18","23","-3.7","Magallanes","VEWL","FgW","","","","","","","","","","","","","","","","","","","","","","","","","arteag000hum"
"44","2013","16","-2.4","Royals","DOSL","FRk","KCR","33","116","100","8","21","2","2","0","6","0","2","11","10","0.21","0.301","0.27","0.571","27","2","2","3","0","0","atenci000jes"
"45","2014","17","-1.3","Royals","DOSL","FRk","KCR","33","109","90","9","19","2","0","0","7","0","0","14","16","0.211","0.318","0.233","0.551","21","2","1","2","2","0","atenci000jes"
"46","2015","18","-0.4","Royals","DOSL","FRk","KCR","48","188","162","13","39","7","0","0","18","0","1","21","16","0.241","0.333","0.284","0.617","46","5","2","2","1","0","atenci000jes"
"47","2016","19","-0.8","Royals","ARIZ","Rk","KCR","13","32","26","2","4","1","0","0","2","0","0","4","7","0.154","0.29","0.192","0.483","5","0","1","1","0","0","atenci000jes"
"48","2017","20","-0.3","Burlington","APPY","Rk","KCR","33","133","121","14","37","6","1","1","14","0","0","6","24","0.306","0.344","0.397","0.74","48","3","2","2","2","0","atenci000jes"
