"","Year","Age","Tm","Lg","Lev","Aff","Stint","From","To","bbrid"
"29",2011,25,"Detroit Tigers","American League","MLB","DET",1,"2011-04-15","2011-09-28","alburq001alb"
"30",2011,25,"Aguilas Cibaenas","Dominican Winter League","FgW","",NA,"2011-12-11","2011-12-11","alburq001alb"
"31",2012,26,"Lakeland Flying Tigers","Florida State League","A+","DET",NA,"2012-07-24","2012-08-01","alburq001alb"
"32",2012,26,"Toledo Mud Hens","International League","AAA","DET",NA,"2012-08-04","2012-08-29","alburq001alb"
"33",2012,26,"Detroit Tigers","American League","MLB","DET",1,"2012-09-04","2012-10-01","alburq001alb"
"34",2013,27,"Detroit Tigers","American League","MLB","DET",1,"2013-04-01","2013-09-28","alburq001alb"
"35",2013,27,"Toledo Mud Hens","International League","AAA","DET",NA,"2013-05-23","2013-06-17","alburq001alb"
"36",2014,28,"Detroit Tigers","American League","MLB","DET",1,"2014-03-31","2014-09-27","alburq001alb"
"37",2015,29,"Detroit Tigers","American League","MLB","DET",1,"2015-04-08","2015-09-29","alburq001alb"
"38",2016,30,"Salt Lake Bees","Pacific Coast League","AAA","LAA",1,"2016-04-08","2016-08-12","alburq001alb"
"39",2016,30,"Los Angeles Angels of Anaheim","American League","MLB","LAA",1,"2016-06-13","2016-06-15","alburq001alb"
"40",2016,30,"AZL Angels","Arizona League","Rk","LAA",NA,"2016-07-27","2016-08-05","alburq001alb"
"41",2016,30,"Tacoma Rainiers","Pacific Coast League","AAA","SEA",2,"2016-08-24","2016-09-05","alburq001alb"
"42",2016,30,"Aguilas Cibaenas","Dominican Winter League","FgW","",NA,"2016-10-20","2016-12-18","alburq001alb"
"43",2017,31,"Omaha Storm Chasers","Pacific Coast League","AAA","KCR",NA,"2017-04-07","2017-06-27","alburq001alb"
"44",2017,31,"Kansas City Royals","American League","MLB","KCR",1,"2017-05-11","2017-07-22","alburq001alb"
"45",2017,31,"Charlotte Knights","International League","AAA","CHW",NA,"2017-08-05","2017-09-04","alburq001alb"
"46",2017,31,"Chicago White Sox","American League","MLB","CHW",2,"2017-09-08","2017-09-30","alburq001alb"
"47",2017,31,"Leones del Escogido","Dominican Winter League","FgW","",NA,"2017-11-10","2017-12-20","alburq001alb"
"48",2017,17,"DSL Royals","Dominican Summer League","FRk","KCR",NA,"2017-06-10","2017-08-23","alcant000adr"
"49",2016,18,"DSL Royals","Dominican Summer League","FRk","KCR",NA,"2016-06-08","2016-08-24","alcant001lui"
"50",2017,19,"Burlington Royals","Appalachian League","Rk","KCR",NA,"2017-06-22","2017-08-29","alcant001lui"
